Nvidia Share,3.22.0.32
NVIDIA ShadowPlay 3.22.0.32,3.22.0.32
NVIDIA SHIELD Wireless Controller Driver,3.22.0.24
NVIDIA Update Core,38.0.7.0
NVIDIA Virtual Audio 4.13.0.0,4.13.0.0
Webex,41.3.0.18191
Microsoft Windows Desktop Targeting Pack - 5.0.0 (x64),40.0.29420
Microsoft .NET Core AppHost Pack - 3.1.13 (x64_arm64),24.116.29816
VS JIT Debugger,16.0.102.0
Microsoft Windows Desktop Runtime - 3.1.13 (x64),24.116.29816
Microsoft .NET Core 3.1 Templates 5.0.201 (x64),12.19.32092
Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030,11.0.61030
Microsoft .NET Core Runtime - 2.1.26 (x64),16.104.29812
icecap_collection_x64,16.9.31004
Microsoft .NET AppHost Pack - 5.0.4 (x64_arm64),40.16.29816
Microsoft .NET Host - 5.0.4 (x64),40.16.29816
Microsoft ASP.NET Core 3.1.13 Shared Framework (x64),3.1.13.21117
Microsoft .NET Core Runtime - 3.1.13 (x64),24.116.29816
Epic Games Launcher Prerequisites (x64),1.0.0.0
Microsoft ASP.NET Core 3.1.10 Targeting Pack (x64),3.1.10.20520
Visual Studio Community 2019,16.9.31112.23
DroidCam Client,6.4.2
Google Chrome,89.0.4389.128
Microsoft Edge,90.0.818.42
Microsoft Edge Update,1.3.141.63
OBS Studio,26.1.1
qBittorrent 4.3.4.1,4.3.4.1
Razer Chroma SDK Core Components,2.10.6
Steam,2.10.91.91
Ubisoft Connect,119.0.10382
ClickOnce Bootstrapper Package for Microsoft .NET Framework,4.8.04119
Snap Camera 1.12.1,1.12.1
vs_communitymsi,16.9.31004
Microsoft TestPlatform SDK Local Feed,16.9.0.4315479
Epic Online Services,1.1.11.0
Microsoft Visual C++ 2019 X86 Minimum Runtime - 14.28.29334,14.28.29334
Razer Synapse,2.21.24.34
icecap_collectionresourcesx64,16.9.31004
Microsoft Visual C++ 2019 X86 Additional Runtime - 14.28.29334,14.28.29334
Microsoft .NET Framework 4.7.2 Targeting Pack,4.7.03062
Microsoft .NET Framework 4.5.2 Multi-Targeting Pack,4.5.51651
vs_clickoncebootstrappermsires,16.0.28329
vs_minshellinteropmsi,16.2.28917
Microsoft .NET Core Runtime - 3.1.13 (x86),24.116.29816
Samsung Magician,6.3.0.330
Microsoft .NET Framework 4.6 Targeting Pack,4.6.00081
osu!,latest
vs_clickoncesigntoolmsi,16.0.28329
Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030,11.0.61030.0
icecap_collectionresources,16.9.31004
Microsoft ASP.NET Core 3.1.13 Shared Framework (x86),3.1.13.21117
Launcher Prerequisites (x64),1.0.0.0
Microsoft .NET Framework 4.8 Developer Pack,4.8.3928
TypeScript SDK,4.1.4.0
Microsoft .NET Framework 4.5 Multi-Targeting Pack,4.5.50710
vs_minshellmsi,16.9.31025
Microsoft .NET Framework 4.5.1 Multi-Targeting Pack,4.5.50932
vs_vswebprotocolselectormsi,16.9.31004
vs_filehandler_amd64,16.9.31004
Microsoft System CLR Types for SQL Server 2019 CTP2.2,15.0.1200.24
Microsoft ASP.NET Core 5.0.4 Shared Framework (x86),5.0.4.21118
Microsoft .NET Host FX Resolver - 5.0.4 (x86),40.16.29816
IntelliTraceProfilerProxy,15.0.18198.01
Microsoft Windows Desktop Runtime - 5.0.4 (x86),40.16.29817
Microsoft .NET Framework 4.6.1 Targeting Pack,4.6.01055
Office 16 Click-to-Run Extensibility Component,16.0.13901.20400
Office 16 Click-to-Run Localization Component,16.0.13901.20336
vs_SQLClickOnceBootstrappermsi,16.9.31004
Microsoft .NET Framework 4.8 SDK,4.8.03928
vs_communitymsires,16.0.28329
Freeze Filter version 0.3.2,0.3.2
Epic Games Launcher,1.2.11.0
Microsoft .NET Framework 4.8 Targeting Pack (ENU),4.8.03761
VS Immersive Activate Helper,16.0.102.0
ClickOnce Bootstrapper Package for Microsoft .NET Framework 4.8 on Visual Studio 2017,4.8.03928
Microsoft Visual C++ 2015-2019 Redistributable (x64) - 14.28.29334,14.28.29334.0
vs_devenvmsi,16.0.28329
Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030,11.0.61030
Microsoft Visual C++ 2015-2019 Redistributable (x86) - 14.28.29334,14.28.29334.0
Microsoft .NET Framework 4.7.2 Targeting Pack (ENU),4.7.03062
vs_BlendMsi,16.0.28329
vs_FileTracker_Singleton,16.9.31004
Microsoft .NET Framework 4.8 Targeting Pack,4.8.03761
Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030,11.0.61030
vcpp_crt.redist.clickonce,14.28.29913
